site,sample,species,density,rbi,srl,unique_id,air_porosity,som
S20,S3,Entolasia stricta,0.18537616841054147,2.4432809773123907,4775.000000000001,S20S3Entolasia stricta3,0.934579439,6.5868154734
S20,S1,Eurychorda complanata,0.0841535419304416,2.7034333603676672,1422.6923076923076,S20S1Eurychorda complanata1,23.62459547,6.5868154734
S20,S2,Eurychorda complanata,0.09356249997680267,0.3270111183780249,424.72222222222223,S20S2Eurychorda complanata2,14.9535124,6.5868154734
S20,S3,Eurychorda complanata,0.14820035370484416,0.7024116132053383,561.9736842105264,S20S3Eurychorda complanata3,15.55686506,6.5868154734
S20,S1,Gonocarpus micranthus,0.13213937296042444,1.506402209389907,1991.5,S20S1Gonocarpus micranthus1,NA,6.5868154734
S20,S2,Gonocarpus micranthus,0.103287634680704,0.5319148936170213,2685.714285714286,S20S2Gonocarpus micranthus2,5.107526882,6.5868154734
S20,S2,Gonocarpus micranthus,0.103287634680704,0.5319148936170213,4699.999999999999,S20S2Gonocarpus micranthus2,5.107526882,6.5868154734
S20,S3,Gonocarpus micranthus,0.15402806167242855,NA,NA,NA,NA,6.5868154734
S20,S1,Gonocarpus tetragynus,0.27092281035207655,1.8438844499078058,2324.285714285714,S20S1Gonocarpus tetragynus1,NA,6.5868154734
S20,S2,Gonocarpus tetragynus,2.988361572128533,2.5630072618539086,4682.0,S20S2Gonocarpus tetragynus2,NA,6.5868154734
S20,S1,Lepidosperma neesii,0.17916654191666662,NA,NA,NA,23.24594257,6.5868154734
S20,S2,Lepidosperma neesii,0.16657544885328446,2.2480329711502436,1312.622950819672,S20S2Lepidosperma neesii2,23.92042698,6.5868154734
S20,S3,Lepidosperma neesii,1.502886884681879,1.2496875781054735,430.21505376344095,S20S3Lepidosperma neesii3,24.56627342,6.5868154734
S20,S1,Leptocarpus tenax,0.17102740283500575,5.842259006815969,1081.0526315789473,S20S1Leptocarpus tenax1,23.96728016,6.5868154734
S20,S2,Leptocarpus tenax,0.20241126780234334,6.097560975609756,2050.0,S20S2Leptocarpus tenax2,25.07042254,6.5868154734
S20,S3,Leptocarpus tenax,0.11589429006890778,3.0683403068340307,1236.2068965517242,S20S3Leptocarpus tenax3,33.48765432,6.5868154734
S20,S1,Leptospermum squarrosum,0.18765811795796922,1.1200716845878136,1594.2857142857144,S20S1Leptospermum squarrosum1,NA,6.5868154734
S20,S2,Leptospermum squarrosum,0.16392270504476464,2.5149324111914493,1871.1764705882354,S20S2Leptospermum squarrosum2,NA,6.5868154734
S20,S3,Leptospermum squarrosum,0.27929768196266214,NA,NA,NA,NA,6.5868154734
S20,S1,Lepyrodia scariosa,0.11410580218330656,1.4571466419393297,705.5140186915888,S20S1Lepyrodia scariosa1,17.03071672,6.5868154734
