site,sample,site_class,species,species_code,replicate,TD,SRL
S13,S3,BD,Haemodorum planifolium,plan,3,0.0497,0.0129
S13,S1,BD,Lomandra obliqua,loma,1,0.2272,0.0137
S13,S2,BD,Lomandra obliqua,loma,2,0.3355,0.0088
S13,S3,BD,Lomandra obliqua,loma,3,0.1908,0.005
S13,S1,BD,Haemodorum corymbosum,cory,1,0.461,0.0061
S13,S2,BD,Haemodorum corymbosum,cory,2,0.2693,0.0178
S16,S1,IU,Cyathachaeta diandra,cya,1,0.1095,0.0042
S16,S2,IU,Cyathachaeta diandra,cya,2,0.0968,0.0097
S16,S3,IU,Cyathachaeta diandra,cya,3,0.1252,0.0052
S16,S1,IU,Entolasia stricta,ento,1,0.0298,0.0064
S16,S2,IU,Entolasia stricta,ento,2,0.0537,0.0148
S16,S3,IU,Entolasia stricta,ento,3,0.0445,0.0066
S16,S1,IU,Banksia ericifolia,eric,1,0.0356,0.0023
S16,S2,IU,Banksia ericifolia,eric,2,0.1017,0.0094
S16,S3,IU,Banksia ericifolia,eric,3,0.0408,0.0025
S16,S1,IU,Eurychorda complanata,eury,1,0.1593,0.0111
S16,S2,IU,Eurychorda complanata,eury,2,0.4099,0.0026
S16,S3,IU,Eurychorda complanata,eury,3,0.1735,0.0116
S16,S1,IU,Leptospermum squarrosum,lepto,1,0.056,0.0115
S16,S1,IU,Lepyrodia scariosa,lepy,1,0.0462,0.0029
S16,S2,IU,Lepyrodia scariosa,lepy,2,0.12,0.0041
S16,S3,IU,Lepyrodia scariosa,lepy,3,0.0903,0.0019
S16,S1,IU,Banksia oblongifolia,obl,1,0.1278,0.0181
S16,S1,IU,Ptilothrix deusta,pti,1,0.266,0.0016
S16,S2,IU,Ptilothrix deusta,pti,2,0.117,0.0169
S16,S3,IU,Ptilothrix deusta,pti,3,0.1474,0.0068
S16,S1,IU,Plinthanthesis paradoxa,plin,1,0.0989,0.0037
S16,S1,IU,Leptocarpus tenax,tenax,1,0.0561,0.0057
S16,S2,IU,Leptocarpus tenax,tenax,2,,0.0028
S16,S3,IU,Leptocarpus tenax,tenax,3,0.0881,0.001
S16,S1,IU,Gonocarpus tetragynus,tetra,1,0.0295,0.0047
S16,S2,IU,Gonocarpus tetragynus,tetra,2,0.0204,0.0061
S16,S3,IU,Gonocarpus tetragynus,tetra,3,0.0986,0.0042
S16,S1,IU,Xyris bracteata,xyr,1,0.1307,0.0031
S16,S2,IU,Xyris bracteata,xyr,2,,0.009
S16,S3,IU,Xyris bracteata,xyr,3,0.0925,0.0086
S5,S1,IB,Haemodorum corymbosum,cory,1,0.0277,0.002
S5,S2,IB,Haemodorum corymbosum,cory,2,0.0563,0.037
S5,S3,IB,Haemodorum corymbosum,cory,3,0.0387,0.0033
S5,S1,IB,Cyathachaeta diandra,cya,1,0.0323,0.0058
S5,S2,IB,Cyathachaeta diandra,cya,2,0.0413,0.0144
S5,S3,IB,Cyathachaeta diandra,cya,3,0.0713,0.0011
S5,S1,IB,Entolasia stricta,ento,1,0.0293,0.0016
S5,S2,IB,Entolasia stricta,ento,2,0.1156,0.002
S5,S3,IB,Entolasia stricta,ento,3,0.0473,0.0018
S5,S1,IB,Banksia ericifolia,eric,1,0.0302,0.0015
S5,S2,IB,Banksia ericifolia,eric,2,0.0889,0.0037
S5,S3,IB,Banksia ericifolia,eric,3,0.1172,0.0228
S5,S1,IB,Eurychorda complanata,eury,1,0.0845,0.0085
S5,S2,IB,Eurychorda complanata,eury,2,0.0384,0.004
S5,S3,IB,Eurychorda complanata,eury,3,0.0177,0.0008
S5,S1,IB,Gonocarpus micranthus,gono,1,0.0338,0.0025
S5,S2,IB,Gonocarpus micranthus,gono,2,0.0507,0.0029
S5,S3,IB,Gonocarpus micranthus,gono,3,0.0272,0.0014
S5,S1,IB,Leptospermum squarrosum,lepto,1,,0.0082
S5,S2,IB,Leptospermum squarrosum,lepto,2,0.0385,0.0011
S5,S3,IB,Leptospermum squarrosum,lepto,3,0.0353,0.005
S5,S1,IB,Lepyrodia scariosa,lepy,1,0.032,0.001
S5,S2,IB,Lepyrodia scariosa,lepy,2,0.0442,0.0008
S5,S3,IB,Lepyrodia scariosa,lepy,3,0.0123,0.0029
S5,S1,IB,Lepidosperma neesii,nee,1,0.0528,0.0042
S5,S2,IB,Lepidosperma neesii,nee,2,0.0411,0.0076
S5,S3,IB,Lepidosperma neesii,nee,3,0.0769,0.0009
S5,S1,IB,Ptilothrix deusta,pti,1,0.0745,0.0183
S5,S2,IB,Ptilothrix deusta,pti,2,0.1993,0.0063
S5,S3,IB,Ptilothrix deusta,pti,3,0.1486,0.0123
S5,S1,IB,Plinthanthesis paradoxa,plin,1,0.0758,0.0035
S5,S2,IB,plinthanthesis paradoxa,plin,2,0.0698,0.0029
S5,S3,IB,plinthanthesis paradoxa,plin,3,0.0215,0.0044
S5,S1,IB,Leptocarpus tenax,tenax,1,0.084,0.0058
S5,S2,IB,Leptocarpus tenax,tenax,2,0.0727,0.0025
S5,S3,IB,Leptocarpus tenax,tenax,3,0.043,0.006
S5,S1,IB,Gonocarpus tetragynus,tetra,1,0.0456,0.0011
S5,S2,IB,Gonocarpus tetragynus,tetra,2,0.0191,0.0027
S5,S3,IB,Gonocarpus tetragynus,tetra,3,,0.0044
S14,S1,IB,Gonocarpus tetragynus,tetra,1,0.0271,0.0029
S14,S2,IB,Gonocarpus tetragynus,tetra,2,0.0086,0.0023
S14,S3,IB,Gonocarpus tetragynus,tetra,3,0.009,
S14,S1,IB,Lomandra obliqua,loma,1,,0.0037
S14,S2,IB,Lomandra obliqua,loma,2,,0.0189
S14,S3,IB,Lomandra obliqua,loma,3,,0.0036
S14,S1,IB,Gonocarpus micranthus,gono,1,,0.0008
S14,S2,IB,Gonocarpus micranthus,gono,2,,0.0004
S14,S3,IB,Gonocarpus micranthus,gono,3,,0.0006
S14,S1,IB,Lepidosperma neesii,nee,1,0.0242,0.0072
S14,S2,IB,Lepidosperma neesii,nee,2,0.0776,0.0073
S14,S3,IB,Lepidosperma neesii,nee,3,0.0934,0.0017
S14,S4,IB,Lepidosperma neesii,nee,4,0.0881,0.0083
S14,S1,IB,Cyathachaeta diandra,cya,1,0.1974,0.0071
S14,S2,IB,Lepidosperma neesii,nee,2,0.0575,0.0018
S14,S3,IB,Lepidosperma neesii,nee,3,0.0813,0.0022
S14,S1,IB,Ptilothrix deusta,pti,1,0.1083,0.0015
S14,S2,IB,Ptilothrix deusta,pti,2,0.2816,0.0054
S14,S3,IB,Ptilothrix deusta,pti,3,0.1406,0.0039
S14,S1,IB,plinthanthesis paradoxa,plin,1,,0.006
S14,S2,IB,plinthanthesis paradoxa,plin,2,0.0474,0.0023
S14,S3,IB,plinthanthesis paradoxa,plin,3,,0.0013
S14,S1,IB,Lepyrodia scariosa,lepy,1,0.0442,0.002
S14,S2,IB,Lepyrodia scariosa,lepy,2,,0.0006
S14,S3,IB,Lepyrodia scariosa,lepy,3,0.0587,0.0006
S14,S1,IB,Banksia ericifolia,eric,1,0.0703,0.0076
S14,S2,IB,Banksia ericifolia,eric,2,,0.0016
S14,S3,IB,Banksia ericifolia,eric,3,,
S14,S1,IB,Entolasia stricta,ento,1,0.0293,0.0027
S14,S2,IB,Entolasia stricta,ento,2,0.0443,0.0005
S14,S3,IB,Entolasia stricta,ento,3,0.0628,0.0006
S14,S1,IB,Leptocarpus tenax,tenax,1,0.0193,0.003
S14,S2,IB,Leptocarpus tenax,tenax,2,,
S14,S3,IB,Leptocarpus tenax,tenax,3,,
S14,S1,IB,Leptospermum squarrosum,lepto,1,0.0061,0.0003
S14,S2,IB,Leptospermum squarrosum,lepto,2,0.0131,0.0006
S19,S1,IU,Cyathachaeta diandra,cya,1,,0.009
S19,S2,IU,Cyathachaeta diandra,cya,2,0.0266,0.0016
S19,S3,IU,Cyathachaeta diandra,cya,3,0.2692,0.0036
S19,S1,IU,Gonocarpus micranthus,gono,1,0.0088,0.0008
S19,S2,IU,Gonocarpus micranthus,gono,2,,
S19,S3,IU,Gonocarpus micranthus,gono,3,,
S19,S1,IU,Leptocarpus tenax,tenax,1,0.0575,0.0023
S19,S2,IU,Leptocarpus tenax,tenax,2,0.0614,0.0016
S19,S3,IU,Leptocarpus tenax,tenax,3,0.0509,0.0013
S19,S1,IU,Eurychorda complanata,eury,1,0.1545,0.0041
S19,S2,IU,Eurychorda complanata,eury,2,0.2228,0.0032
S19,S3,IU,Eurychorda complanata,eury,3,0.2536,0.0051
S19,S1,IU,Ptilothrix deusta,pti,1,0.2453,0.0059
S19,S2,IU,Ptilothrix deusta,pti,2,0.2746,0.0047
S19,S3,IU,Ptilothrix deusta,pti,3,0.1267,0.0032
S19,S1,IU,Lepidosperma neesii,nee,1,0.0389,0.0172
S19,S2,IU,Lepidosperma neesii,nee,2,0.0494,0.0053
S19,S3,IU,Lepidosperma neesii,nee,3,0.0379,0.0008
