site,sample,site_class,species,species_code,replicate,fresh_mass_of_roots,Mass_of_pycnometer_filled_with_water,temperature_of_water_reading_1,density_1,fresh_weight_pycnometer_with_roots_and_water_before_vaccuum,temp_of_water_reading_2,density_2,fresh_weight_pycnometer_after_vacuum,root_volume,air_root_volume,air_porosity
S15,S3,IU,Banksia ericifolia,eric,3,0.1224,92.6924,23.2,0.998,92.7021,,,,0.112925852,,
S15,S1,IU,Banksia oblongifolia,obl,1,0.2304,92.6676,23.2,0.998,92.6823,24.6,0.998,92.701,0.216132265,0.018737475,8.669448308
S15,S2,IU,Banksia oblongifolia,obl,2,0.3252,92.6607,23.2,0.998,92.5999,24.6,0.998,92.6608,0.386773547,0.061022044,15.77720207
S15,S1,IU,Cyathochaeta diandra,cya,1,0.1673,92.6631,23.2,0.998,92.663,24.6,0.998,92.6544,0.167735471,-0.008617234,-5.13739546
S15,S2,IU,Cyathochaeta diandra,cya,2,0.1547,92.6493,23.2,0.998,92.657,24.6,0.998,92.6475,0.147294589,-0.009519038,-6.462585034
S15,S3,IU,Cyathochaeta diandra,cya,3,0.6267,92.6826,23.2,0.998,92.6758,24.6,0.998,92.7091,0.634769539,0.033366733,5.256511444
S15,S1,IU,Empodisma minus,emp,1,0.5259,92.6585,23.2,0.998,92.693,24.6,0.998,92.6981,0.49238477,0.00511022,1.037851038
S15,S2,IU,Empodisma minus,emp,2,0.1707,92.6705,23.2,0.998,92.6631,24.6,0.998,92.6641,0.178456914,0.001002004,0.561482313
S15,S3,IU,Empodisma minus,emp,3,0.2084,92.6662,23.2,0.998,92.6501,24.6,0.998,92.657,0.2249499,0.006913828,3.073496659
S15,S4,IU,Empodisma minus,emp,4,0.2509,92.6764,23.2,0.998,92.6796,24.6,0.998,92.6804,0.248196393,0.000801603,0.322971336
S15,S1,IU,Entolasia stricta,ento,1,0.1877,92.6536,23.2,0.998,92.6784,24.6,0.998,92.6606,0.163226453,-0.017835671,-10.92694905
S15,S2,IU,Entolasia stricta,ento,2,0.1099,92.6727,23.2,0.998,92.6684,24.6,0.998,,0.114428858,,
S15,S3,IU,Entolasia stricta,ento,3,0.2981,92.6622,23.2,0.998,92.6741,24.6,0.998,,0.286773547,,
S15,S1,IU,Eurychorda complanata,eury,1,0.2886,92.6774,23.2,0.998,92.5727,24.6,0.998,92.6537,0.394088176,0.081162325,20.59496568
S15,S2,IU,Eurychorda complanata,eury,2,0.3144,92.6729,23.2,0.998,92.5663,24.6,0.998,92.6549,0.421843687,0.088777555,21.04513064
S15,S3,IU,Eurychorda complanata,eury,3,0.4408,92.6793,23.2,0.998,92.6469,24.6,0.998,92.6661,0.474148297,0.019238477,4.057480981
S15,S1,IU,Leptocarpus tenax,tenax,1,0.1455,92.6638,23.2,0.998,92.5786,24.6,0.998,92.6537,0.231162325,0.075250501,32.55309926
S15,S2,IU,Leptocarpus tenax,tenax,2,0.1035,92.6689,23.2,0.998,92.5753,24.6,0.998,92.6352,0.19749499,0.06002004,30.39066464
S15,S3,IU,Leptocarpus tenax,tenax,3,0.1624,92.6667,23.2,0.998,92.5521,24.6,0.998,92.6209,0.27755511,0.068937876,24.83754513
S15,S1,IU,Lepyrodia scariosa ,lepy,1,0.1434,92.6807,23.2,0.998,92.6529,24.6,0.998,92.6621,0.171543086,0.009218437,5.373831776
S15,S2,IU,Lepyrodia scariosa ,lepy,2,0.0672,92.6714,23.2,0.998,92.652,24.6,0.998,,0.086773547,,
S15,S3,IU,Lepyrodia scariosa ,lepy,3,0.0448,92.6655,23.2,0.998,92.6589,24.6,0.998,92.6601,0.051503006,0.001202405,2.33463035
S15,S1,IU,Lomandra obliqua,loma,1,0.0775,92.6522,23.2,0.998,92.6492,24.6,0.998,,0.080661323,,
S15,S2,IU,Lomandra obliqua,loma,2,0.0984,92.6493,23.2,0.998,92.6619,24.6,0.998,,0.085971944,,
S15,S3,IU,Lomandra obliqua,loma,3,0.1904,92.6744,23.2,0.998,92.6928,24.6,0.998,,0.172344689,,
S15,S1,IU,Plinthanthesis paradoxa,plin,1,0.0412,92.6652,23.2,0.998,92.6599,24.6,0.998,92.6602,0.046593186,0.000300601,0.64516129
S15,S1,IU,Ptilothrix deusta,pti,1,0.4662,92.6756,23.2,0.998,92.625,24.6,0.998,92.7007,0.517835671,0.075851703,14.64783282
S15,S2,IU,Ptilothrix deusta,pti,2,0.2331,92.6722,23.2,0.998,92.6883,24.6,0.998,92.7003,0.21743487,0.012024048,5.529953917
S15,S3,IU,Ptilothrix deusta,pti,3,0.4894,92.657,23.2,0.998,92.6443,24.6,0.998,92.705,0.503106212,0.060821643,12.08922525
S16,S1,IU,Banksia ericifolia,eric,1,0.1183,92.6728,23.2,0.998,92.6822,,,,0.109118236,,
S16,S2,IU,Banksia ericifolia,eric,2,0.4256,92.6569,23.2,0.998,92.6941,24.6,0.998,,0.389178357,-92.87985972,-23865.62822
S16,S3,IU,Banksia ericifolia,eric,3,0.1636,92.6698,23.2,0.998,92.6951,,,,0.138577154,,
S16,S1,IU,Banksia oblongifolia,obl,1,0.3951,92.6682,23.2,0.998,92.708,,,,0.356012024,,
S16,S1,IU,Cyathochaeta diandra,cya,1,0.4033,92.6794,23.2,0.998,92.7059,24.6,0.998,,0.37755511,-92.89168337,-24603.47665
S16,S2,IU,Cyathochaeta diandra,cya,2,0.4539,92.6708,23.2,0.998,92.6716,24.6,0.998,92.6836,0.454008016,0.012024048,2.648421982
S16,S3,IU,Cyathochaeta diandra,cya,3,0.4898,92.6761,23.2,0.998,92.7174,24.6,0.998,92.7367,0.449398798,0.019338677,4.303232999
S16,S1,IU,Entolasia stricta,ento,1,0.142,92.6716,23.2,0.998,92.6718,24.6,0.998,92.667,0.142084168,-0.004809619,-3.385049365
S16,S2,IU,Entolasia stricta,ento,2,0.2489,92.6875,23.2,0.998,92.6902,24.6,0.998,,0.246693387,-92.8759519,-37648.33469
S16,S3,IU,Entolasia stricta,ento,3,0.1482,92.6923,23.2,0.998,92.7073,24.6,0.998,92.6949,0.133466934,-0.01242485,-9.309309309
S16,S1,IU,Eurychorda complanata,eury,1,1.0592,92.6784,23.2,0.998,92.5361,24.6,0.998,92.6367,1.203907816,0.100801603,8.372867249
S16,S2,IU,Eurychorda complanata,eury,2,1.7047,92.6758,23.2,0.998,92.3502,24.6,0.998,92.5671,2.034368737,0.217334669,10.68315027
S16,S3,IU,Eurychorda complanata,eury,3,1.0222,92.681,23.2,0.998,92.3318,24.6,0.998,92.5377,1.374148297,0.206312625,15.01385446
S16,S1,IU,Gonocarpus tetragynus,tetra,1,0.1739,92.6847,23.2,0.998,92.6819,24.6,0.998,92.6584,0.177054108,-0.023547094,-13.29937748
S16,S2,IU,Gonocarpus tetragynus,tetra,2,0.0656,92.6749,23.2,0.998,92.6782,24.6,0.998,92.6704,0.06242485,-0.007815631,-12.52006421
S16,S3,IU,Gonocarpus tetragynus,tetra,3,0.254,92.6557,23.2,0.998,92.6861,,,,0.224048096,,
S16,S1,IU,Leptocarpus tenax,tenax,1,0.2464,92.6782,23.2,0.998,92.5587,24.6,0.998,92.6164,0.366633267,0.057815631,15.76933588
S16,S3,IU,Leptocarpus tenax,tenax,3,0.3825,92.6846,23.2,0.998,92.6224,24.6,0.998,92.6666,0.445591182,0.044288577,9.939284911
S16,S1,IU,Leptospermum squarrosum,lepto,1,0.1673,92.6673,23.2,0.998,92.639,24.6,0.998,,0.195991984,,
S16,S1,IU,Lepyrodia scariosa ,lepy,1,0.1952,92.6823,23.2,0.998,92.631,24.6,0.998,92.6636,0.246993988,0.032665331,13.22515213
S16,S2,IU,Lepyrodia scariosa ,lepy,2,0.4601,92.6863,23.2,0.998,92.4991,24.6,0.998,92.6317,0.648597194,0.132865731,20.48509192
S16,S3,IU,Lepyrodia scariosa ,lepy,3,0.3899,92.6697,23.2,0.998,92.5058,24.6,0.998,92.5999,0.55490982,0.094288577,16.99169375
S16,S1,IU,Plinthanthesis paradoxa,plin,1,0.5271,92.6703,23.2,0.998,92.6672,24.6,0.998,92.6768,0.531262525,0.009619238,1.810637495
S16,S1,IU,Ptilothrix deusta,pti,1,0.7678,92.6957,23.2,0.998,92.562,24.6,0.998,92.6951,0.903306613,0.133366733,14.76428175
S16,S2,IU,Ptilothrix deusta,pti,2,0.3061,92.6835,23.2,0.998,92.638,24.6,0.998,92.6913,0.352304609,0.053406814,15.1592719
S16,S3,IU,Ptilothrix deusta,pti,3,0.423,92.6913,23.2,0.998,92.5368,24.6,0.998,92.6465,0.578657315,0.10991984,18.995671
S16,S1,IU,Xyris bracteata,xyr,1,0.9295,92.6828,23.2,0.998,92.5236,24.6,0.998,92.5935,1.090881764,0.07004008,6.420501516
S16,S3,IU,Xyris bracteata,xyr,3,0.6878,92.6793,23.2,0.998,92.6322,24.6,0.998,92.6427,0.736372745,0.010521042,1.428765818
S17,S1,IU,Banksia ericifolia,eric,1,0.1992,92.6558,23.2,0.998,92.6465,,,,0.208917836,,
S17,S1,IU,Cyathochaeta diandra,cya,1,0.4184,92.6692,23.2,0.998,92.6653,24.6,0.998,92.688,0.423146293,0.022745491,5.375325598
S17,S2,IU,Cyathochaeta diandra,cya,2,0.4553,92.6811,23.2,0.998,92.6875,24.6,0.998,92.697,0.449799599,0.009519038,2.11628425
S17,S3,IU,Cyathochaeta diandra,cya,3,0.3968,92.6727,23.2,0.998,92.6773,24.6,0.998,92.6871,0.392985972,0.009819639,2.49872514
S17,S1,IU,Empodisma minus,emp,1,0.4799,92.6632,23.2,0.998,92.6782,24.6,0.998,92.6851,0.465831663,0.006913828,1.484190148
S17,S2,IU,Empodisma minus,emp,2,0.3338,92.6748,23.2,0.998,92.6738,24.6,0.998,92.6775,0.335470942,0.003707415,1.105137395
S17,S3,IU,Empodisma minus,emp,3,0.1908,92.6777,23.2,0.998,92.6718,24.6,0.998,92.6757,0.197094188,0.003907816,1.982714794
S17,S1,IU,Entolasia stricta,ento,1,0.0145,92.6669,23.2,0.998,92.6643,24.6,0.998,,0.017134269,,
S17,S1,IU,Eurychorda complanata,eury,1,1.0887,92.6747,23.2,0.998,92.4267,24.6,0.998,92.6201,1.339378758,0.193787575,14.46846712
S17,S2,IU,Eurychorda complanata,eury,2,1.2412,92.6749,23.2,0.998,92.4369,24.6,0.998,92.6094,1.482164329,0.172845691,11.66170903
S17,S3,IU,Eurychorda complanata,eury,3,0.9037,92.6729,23.2,0.998,92.3077,24.6,0.998,92.5169,1.271442886,0.209619238,16.48672078
S17,S1,IU,Gonocarpus tetragynus,tetra,1,0.1752,92.6558,23.2,0.998,92.6676,24.6,0.998,,0.163727455,,
S17,S2,IU,Gonocarpus tetragynus,tetra,2,0.1546,92.6763,23.2,0.998,92.6747,24.6,0.998,,0.156513026,,
S17,S3,IU,Gonocarpus tetragynus,tetra,3,0.0706,92.6469,23.2,0.998,92.6378,24.6,0.998,92.6409,0.079859719,0.003106212,3.889585947
